Name,Brand,SKU,MPN,base_price,MSRP,Image
Haier ENERGY STAR® 16.8 Cu. Ft. Quad Door Refrigerator,Haier,QHE16HYPFS,QHE16HYPFS,1221.00,1.999.00,https://images.webfronts.com/cache/frlvgktxunhk.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
14.5 Cu. Ft. 4 Door Refrigerator,Haier,QJS15HYRFS,QJS15HYRFS,1221.00,1.799.00,https://images.webfronts.com/cache/frkdmthwqpma.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
18 cu. ft. Smart Counter Depth 3-Door French Door Refrigerator in Stainless Look,Samsung,RF18A5101S9,RF18A5101S9,1221.00,,https://images.webfronts.com/cache/rdfuittquelg.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
Haier ENERGY STAR® 16.8 Cu. Ft. Quad Door Refrigerator,Haier,QHE16HYPFS,QHE16HYPFS,1221.00,1.999.00,https://images.webfronts.com/cache/frlvgktxunhk.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
Haier ENERGY STAR® 16.8 Cu. Ft. Quad Door Refrigerator,Haier,QHE16HYPFS,QHE16HYPFS,1221.00,1.999.00,https://images.webfronts.com/cache/frlvgktxunhk.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
14.5 Cu. Ft. 4 Door Refrigerator,Haier,QJS15HYRFS,QJS15HYRFS,1221.00,1.799.00,https://images.webfronts.com/cache/frkdmthwqpma.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
18 cu. ft. Smart Counter Depth 3-Door French Door Refrigerator in Stainless Look,Samsung,RF18A5101S9,RF18A5101S9,1221.00,,https://images.webfronts.com/cache/rdfuittquelg.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
18 cu. ft. Smart Counter Depth 3-Door French Door Refrigerator in Black Stainless Steel,Samsung,RF18A5101SG,RF18A5101SG,1599.00,,https://images.webfronts.com/cache/rdiyowbmlaow.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
18 cu. ft. Smart Counter Depth 3-Door French Door Refrigerator in Stainless Steel,Samsung,RF18A5101SR,RF18A5101SR,1332.00,,https://images.webfronts.com/cache/rdfuittquelg.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
17.6 Cu. Ft. Counter-Depth French Door Refrigerator,Frigidaire,FRFG1723AV,FRFG1723AV,1999.00,2.249.00,https://images.webfronts.com/cache/frudefxsnhbx.jpg?imgeng=/w_800/h_600/m_letterbox_ffffff_100
